Start, End, Winner, BTank 1, BTank 2, BDps 1, BDps 2, BSupport 1, BSupport 2, RTank 1, RTank 2, RDps 1, RDps 2, RSupport 1, RSupport 2, BTank 1 Before Ult %, BTank 2 Before Ult %, BDps 1 Before Ult %, BDps 2 Before Ult %, BSupport 1 Before Ult %, BSupport 2 Before Ult %, RTank 1 Before Ult %, RTank 2 Before Ult %, RDps 1 Before Ult %, RDps 2 Before Ult %, RSupport 1 Before Ult %, RSupport 2 Before Ult %, Blue Ults Used, Red Ult Used, BTank 1 After Ult %, BTank 2 After Ult %, BDps 1 After Ult %, BDps 2 After Ult %, BSupport 1 After Ult %, BSupport 2 After Ult %, RTank 1 After Ult %, RTank 2 After Ult %, RDps 1 After Ult %, RDps 2 After Ult %, RSupport 1 After Ult %, RSupport 2 After Ult %, First Ult Team, First Ult Caster, First Kill Team, First Kill Target, Blue Kills, Red Kills,  
2:5:16,2:5:56,blue,orisa, sigma, pharah, reaper, mercy, moira, orisa, wrecking_ball, mei, pharah, mercy, moira, 3,2,2,2,3,4,2,3,16,3,2,2,,,66,100,24,19,53,74,67,41,64,2,34,68,Null,Null,red,wrecking_ball,6,3
2:6:27,2:6:42,blue,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, mei, pharah, mercy, moira, 98,100,31,40,5,98,100,51,97,8,45,78,moira pharah mercy ,moira ,100,2,75,50,using,2,7,56,100,17,58,84,red,moira,blue,pharah,6,1
2:7:8,2:7:36,blue,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, mei, pharah, mercy, moira, 100,12,82,10,8,16,26,63,100,23,65,96,orisa ,mei moira ,29,100,7,100,36,72,using,96,100,50,100,8,blue,orisa,blue,pharah,3,1
2:7:49,2:8:14,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, mccree, pharah, mercy, moira, 35,100,0,100,43,79,1,99,100,55,100,2,moira ,mercy orisa ,54,17,34,100,60,98,55,18,100,68,15,78,red,mercy,red,mccree,0,6
2:8:47,2:9:9,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, mccree, pharah, mercy, moira, 69,43,59,100,77,100,95,31,100,76,29,50,,pharah ,77,51,76,100,84,100,100,42,16,91,65,100,red,pharah,red,mccree,0,6
2:9:25,2:9:46,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, mccree, pharah, mercy, moira, 10,79,79,100,100,100,100,62,26,96,78,100,moira mercy pharah ,moira mccree mercy ,10,2,0,100,2,2,20,10,100,100,using,18,red,moira,blue,pharah,1,6
2:10:5,2:10:25,red,orisa, sigma, pharah, reaper, mercy, moira, orisa, sigma, mccree, pharah, mercy, moira, 96,11,100,100,7,6,24,95,100,100,2,23,sigma ,pharah orisa sigma ,100,47,1,1,0,0,46,80,13,using,34,54,red,pharah,red,sigma,0,6
2:11:36,2:12:2,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 22,52,19,10,26,10,40,22,20,19,33,18,,,56,100,60,52,73,43,100,78,61,90,93,74,Null,Null,red,mei,0,7
2:12:29,2:13:5,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 66,100,67,63,84,50,100,95,69,100,100,83,moira lucio ,sigma moira orisa mei ,91,63,100,100,23,100,56,34,16,36,100,100,red,sigma,blue,doomfist,7,1
2:13:31,2:13:50,red,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 100,80,100,100,31,100,74,42,32,44,100,100,sigma doomfist ,lucio reaper moira ,100,100,5,21,55,100,0,70,54,66,18,28,blue,sigma,red,reaper,0,6
2:14:10,2:14:30,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 100,100,10,25,63,100,16,80,73,6,26,34,moira orisa ,,using,3,47,52,85,100,45,99,88,94,40,49,blue,moira,blue,doomfist,6,0
2:14:53,2:15:10,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 5,10,55,57,92,100,52,100,95,100,44,55,lucio reaper ,orisa sigma ,21,37,88,87,6,0,97,14,100,4,76,90,red,orisa,blue,reaper,6,0
2:15:32,2:15:53,blue,orisa, sigma, doomfist, reaper, lucio, moira, orisa, sigma, mei, reaper, lucio, moira, 38,52,100,95,16,17,100,23,100,10,85,95,doomfist moira ,mei reaper ,77,using,41,100,40,37,100,51,7,0,100,7,blue,doomfist,blue,doomfist,6,1
2:22:45,2:23:27,red,orisa, sigma, bastion, pharah, baptiste, mercy, orisa, sigma, hanzo, pharah, baptiste, mercy, 21,19,37,14,36,49,61,19,17,17,25,16,,,44,74,4,30,68,71,100,53,100,46,66,63,Null,Null,red,hanzo,1,7
2:23:51,2:24:18,red,orisa, sigma, pharah, tracer, baptiste, mercy, orisa, sigma, mccree, pharah, baptiste, mercy, 56,100,30,43,91,86,100,68,100,61,100,17,baptiste mercy ,pharah ,70,2,0,81,1,100,100,100,27,90,100,58,blue,baptiste,red,pharah,1,7
